lemma,wethey_past,pastpart,i_pres,wethey_pres,you_pres,hsi_pres,prespart,i_past,you_past,hsi_past
develop,developed,developed,develop,develop,develop,develops,developing,developed,developed,developed
disagree,disagreed,disagreed,disagree,disagree,disagree,disagrees,disagreeing,disagreed,disagreed,disagreed
disappear,disappeared,disappeared,disappear,disappear,disappear,disappears,disappearing,disappeared,disappeared,disappeared
disapprove,disapproved,disapproved,disapprove,disapprove,disapprove,disapproves,disapproving,disapproved,disapproved,disapproved
disarm,disarmed,disarmed,disarm,disarm,disarm,disarms,disarming,disarmed,disarmed,disarmed
discover,discovered,discovered,discover,discover,discover,discovers,discovering,discovered,discovered,discovered
dislike,disliked,disliked,dislike,dislike,dislike,dislikes,disliking,disliked,disliked,disliked
divide,divided,divided,divide,divide,divide,divides,dividing,divided,divided,divided
double,doubled,doubled,double,double,double,doubles,doubling,doubled,doubled,doubled
doubt,doubted,doubted,doubt,doubt,doubt,doubts,doubting,doubted,doubted,doubted
drain,drained,drained,drain,drain,drain,drains,draining,drained,drained,drained
dream,dreamed,dreamed,dream,dream,dream,dreams,dreaming,dreamed,dreamed,dreamed
dress,dressed,dressed,dress,dress,dress,dresses,dressing,dressed,dressed,dressed
drip,dripped,dripped,drip,drip,drip,drips,dripping,dripped,dripped,dripped
drop,dropped,dropped,drop,drop,drop,drops,dropping,dropped,dropped,dropped
drown,drowned,drowned,drown,drown,drown,drowns,drowning,drowned,drowned,drowned
drum,drummed,drummed,drum,drum,drum,drums,drumming,drummed,drummed,drummed
dry,dried,dried,dry,dry,dry,dries,drying,dried,dried,dried
dust,dusted,dusted,dust,dust,dust,dusts,dusting,dusted,dusted,dusted
earn,earned,earned,earn,earn,earn,earns,earning,earned,earned,earned
educate,educated,educated,educate,educate,educate,educates,educating,educated,educated,educated
embarrass,embarrassed,embarrassed,embarrass,embarrass,embarrass,embarrasses,embarrassing,embarrassed,embarrassed,embarrassed
employ,employed,employed,employ,employ,employ,employs,employing,employed,employed,employed
empty,emptied,emptied,empty,empty,empty,empties,emptying,emptied,emptied,emptied
encourage,encouraged,encouraged,encourage,encourage,encourage,encourages,encouraging,encouraged,encouraged,encouraged
end,ended,ended,end,end,end,ends,ending,ended,ended,ended
enjoy,enjoyed,enjoyed,enjoy,enjoy,enjoy,enjoys,enjoying,enjoyed,enjoyed,enjoyed
